"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04974","Protein digestion and absorption","6/60","103/8577",7.67287198232725e-05,0.0114325792536676,0.0109035549222545,"1301/1290/1293/1295/1297/3783",6
"hsa04024","cAMP signaling pathway","7/60","225/8577",0.000921882835161041,0.0661922109106257,0.0631292721507204,"3352/1907/64399/11149/64208/10846/2353",7
"hsa04924","Renin secretion","4/60","69/8577",0.00133272907873743,0.0661922109106257,0.0631292721507204,"1907/22802/5972/3759",4
"hsa04915","Estrogen signaling pathway","5/60","137/8577",0.00261000311833724,0.0842634346338038,0.080364278880703,"2353/192666/3881/3860/3866",5
"hsa00380","Tryptophan metabolism","3/60","42/8577",0.00307790983595299,0.0842634346338038,0.080364278880703,"3620/219/4128",3
"hsa04512","ECM-receptor interaction","4/60","89/8577",0.00339315844162968,0.0842634346338038,0.080364278880703,"2335/1293/1297/3678",4
"hsa05150","Staphylococcus aureus infection","4/60","96/8577",0.00445229295686128,0.094077558283909,0.0897242696455508,"192666/3881/3860/3866",4
"hsa00330","Arginine and proline metabolism","3/60","50/8577",0.00505114406893471,0.094077558283909,0.0897242696455508,"219/283208/4128",3
"hsa00340","Histidine metabolism","2/60","22/8577",0.0101606253247475,0.168214797043042,0.160430926180224,"219/4128",2
"hsa05031","Amphetamine addiction","3/60","69/8577",0.0122959134693385,0.183209110693143,0.174731401932705,"2353/2354/4128",3
